,Airline Name,Overall_Rating,Review_Title,Review,Type Of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,departure,destination,in_usa,destination_country,destination_in_USA,flight_type,Preprocessed_Reviews,compound_vader,Sentiment_tb,category_tb,category_vader
0,Aer Lingus,3,"""Worst lack of care""","We flew Aer Lingus last summer Seattle to Dublin to Edinburgh and then back Edinburg to Dublin to Seattle. Our plane left quite late from Seattle with no explanation and we ended up getting into Dublin several hours late missing our connecting flight. No one there to help, an hour bouncing around to different Aer Lingus staff in the arrival terminal w/o one person helping us. We finally ended up outside back at check-in in a long line of rebooking passengers who were told we wouldn’t make the next Edinburgh flight as it was booked, last one out that day. The staff were unwilling to book us on Ryan Air which EU regulations say should happen as they had plenty of seats. A supervisor took pity on me and somehow got me on the last flight but we arrived in Edinburgh 5 hours or more late outside of the EU regulations with no food or drink offered or available. Aer Lingus has denied the EU regulation payment saying it’s not covered since  unforeseen circumstances on first rejection and then it was a us domestic originated flight so it isn’t covered (not true since it started in Dublin and arrived late into the States). On flight to Dublin they lost my wife’s suitcase and it didn’t get to us until the 2nd to last day in Ireland, over 72 hours when it’s considered a lost bag, we filed a claim, and not once has anyone acknowledged this reimbursement owed for the modest clothing she had to buy. I’ve been on hold with their customer service for hours, sent many inquiries, and tried to escalate this but no there cares about us. Worst lack of care for us we’ve seen from an airline.",Couple Leisure,Economy Class,8/1/2022,4,4,3,1,3,2,Seattle,Dublin,True,Ireland,False,International,flew aer lingu last summer seattl dublin edinburgh back edinburg dublin seattl plane left quit late seattl explan end get dublin sever hour late miss connect flight one help hour bounc around differ aer lingu staff arriv termin wo one person help us final end outsid back checkin long line rebook passeng told wouldnt make next edinburgh flight book last one day staff unwil book us ryan air eu regul say happen plenti seat supervisor took piti somehow got last flight arriv edinburgh 5 hour late outsid eu regul food drink offer avail aer lingu deni eu regul payment say cover sinc unforeseen circumst first reject us domest origin flight isnt cover true sinc start dublin arriv late state flight dublin lost wife suitcas didnt get us 2nd last day ireland 72 hour consid lost bag file claim anyon acknowledg reimburs owe modest cloth buy ive hold custom servic hour sent mani inquiri tri escal care us worst lack care us weve seen airlin,-0.5903,-0.081578947,Negative,Negative
1,Aer Lingus,1,"""This airline is a joke""","Got on the plane and it is so old that there is no USB or outlets. We are burning up because they have no air flow, and we were informed the entertain doesn’t work. It is a 7hr flight. This is outrageous for the price I paid for this ticket. This airline is a joke and I would never recommend it to anyone. First and last time I will fly this airline.",Family Leisure,Economy Class,6/1/2023,1,1,1,1,2,2,Chicago,Dublin,True,Ireland,False,International,got plane old usb outlet burn air flow inform entertain doesnt work 7hr flight outrag price paid ticket airlin joke would never recommend anyon first last time fli airlin,0.3378,0.116666667,Positive,Neutral
2,Aer Lingus,1,"""involuntarily denied boarding""","We booked our flight 7 months out and checked in 4 hours early. We were involuntarily denied boarding, causing us to lose 2 days of our vacation. They violated federal policy twice by not including a verbal or written reason as to why we were selected for IDB, and by not asking for volunteers to take a later flight in exchange for compensation. We were thankfully refunded the maximum amount for our flights ($1350 each). However, one of the checks bounced, causing us to incur an additional fee from the bank. Customer service hung up on us after an entire hour on hold and then did not call back. We were last told to open a ticket for the bounced check.  We will not be flying with Aer Lingus again.",Couple Leisure,Economy Class,6/1/2023,1,5,3,1,2,2,Boston,Athens,True,Greece,False,International,book flight 7 month check 4 hour earli involuntarili deni board caus us lose 2 day vacat violat feder polici twice includ verbal written reason select idb ask volunt take later flight exchang compens thank refund maximum amount flight 1350 howev one check bounc caus us incur addit fee bank custom servic hung us entir hour hold call back last told open ticket bounc check fli aer lingu,-0.0516,0.0,Neutral,Neutral
3,Aer Lingus,1,"""customer service is non existent""",If you have to book with them and have no other option please consider buying air tags and if you are traveling with someone make sure you mix the clothing and belongings so that you don’t end up having to buy an entire new closet for your trip. They lost our luggage and it’s been 4 days now without our stuff and the customer service is non existent. I think that maybe a group of mice could better figure out how to locate a lost bag better than these humans. I will never fly with them again and will warn others in the NYC area to do the same.,Couple Leisure,Economy Class,6/1/2023,1,1,1,1,1,1,New York,Naples,True,Italy,False,International,book option pleas consid buy air tag travel someon make sure mix cloth belong dont end buy entir new closet trip lost luggag 4 day without stuff custom servic non exist think mayb group mice could better figur locat lost bag better human never fli warn other nyc area,0.5853,0.251893939,Positive,Positive
4,Aer Lingus,1,"""Lost luggage nightmare""","WORSE THAN SPIRIT AIRLINES! Lost luggage nightmare! This is easily the worst and least helpful airline I’ve ever dealt with. I’d even recommend Spirit Airlines over Aer Lingus. They lost our bags on our recent trip and have no desire to help us get them back. Their customer service is a joke and they are incapable of providing any answers to help us understand when we can expect the bags. Besides this nightmare we’ve experienced, the planes are also small and uncomfortable. Will never fly with them again!",Couple Leisure,Economy Class,6/1/2023,1,1,1,1,1,1,Washington,Naples,True,Italy,False,International,wors spirit airlin lost luggag nightmar easili worst least help airlin ive ever dealt id even recommend spirit airlin aer lingu lost bag recent trip desir help us get back custom servic joke incap provid answer help us understand expect bag besid nightmar weve experienc plane also small uncomfort never fli,-0.8113,-0.31,Negative,Negative
5,Aer Lingus,7,"""would certainly use them again""","Our outbound flight was excellent with no issues and on 10 June for our return flight, I have one big issue and some niggles. For the whole flight, the cabin crew locked off one of the two available toilets. There was nothing wrong with it as the cabin and flight crew used it. Keeping a toilet exclusively for crew use is, in my view, unacceptable. The seat on the A330 is comfortable and I had the best 4 hours of continuous sleep I have ever had in the air. The food offering was, for me, poor except for the snack just after take off with the first drink service. It comprised a pack of five mini, savoury biscuits and a little tub of onion chutney to dip, both of which were delicious and very different from the nuts or pretzels others offer. On the outbound flight, we were offered the traditional juice or champagne prior to take off but no attempt was made to offer this on the inbound flight. The Asian-style beef at dinner had little of the Orient about it. I didn't try the dessert or either of the starters. IFE was available but very limited choice compared to many other carriers. Finally the complimentary wi-fi was somehow not available on this leg but you could pay. Outbound no problem a voucher was given shortly after boarding. Okay, quite a bit of whinging there, and apart from the very comfortable seat the only other positive was that despite delayed take off on both legs the plane arrive on time or a little early. I would certainly use them again for this route though as too few Manchester to the USA options are available.",Couple Leisure,Business Class,6/1/2023,5,4,3,5,2,1,New York JFK,Manchester,True,United Kingdom,False,International,outbound flight excel issu 10 june return flight one big issu niggl whole flight cabin crew lock one two avail toilet noth wrong cabin flight crew use keep toilet exclus crew use view unaccept seat a330 comfort best 4 hour continu sleep ever air food offer poor except snack take first drink servic compris pack five mini savouri biscuit littl tub onion chutney dip delici differ nut pretzel other offer outbound flight offer tradit juic champagn prior take attempt made offer inbound flight asianstyl beef dinner littl orient n't tri dessert either starter ife avail limit choic compar mani carrier final complimentari wifi somehow avail leg could pay outbound problem voucher given shortli board okay quit bit whing apart comfort seat posit despit delay take leg plane arriv time littl earli would certainli use rout though manchest usa option avail,0.3612,0.071527778,Neutral,Neutral
6,Aer Lingus,2,"""Never again will I fly Aer Lingus""","We booked a ten-day tour of Ireland thru Trafalgar Tours. The tour started 19 May 2023. We wanted to arrive early and see some of Dublin before the tour started so we booked an Aer Lingus flight from Orlando Florida to Dublin on the 17th of May. Our flight was due to depart at 8:30 PM and arrive in Dublin at 9:30 AM on the 18th of May. (Aer Lingus Flt. 120). We were told that the incoming equipment had been delayed and that we would depart at 9:30 PM. The incoming aircraft arrived shortly after 9 PM followed by a fire truck! We were told we would depart at 10;30 then, 11:30. this went on till 2 AM on the 18th. They said the flight was canceled, but we would be boarded in the morning as soon as the aircraft was repaired. Imagine 300 people scrambling to get their checked luggage and make their way to the check in desk to get a hotel voucher (we found out that they booked the hotel rooms at 9:00 PM that night), madness. We got to the hotel at 4:30 AM. We had three hours sleep and returned to the airport to see if our plane had been repaired, it hadn't. we were told we would be boarding Aer Lingus flight 34 for Manchester, England at 5:45 PM. We arrived in Manchester at 7:20 AM on the 19th of May. Our connecting flight (Aer Lingus 3327) to Dublin did not leave till 5:45 PM that night. We arrived in Dublin at 6:40 PM. We arrived 33 hours late. We had paid for a hotel room in Dublin for the night of the 18 that we didn't get to use, and we missed the complete first day of our tour. We filed a claim with Aer Lingus for $ 600 each for me and my wife per EU rules. We also asked for $220 for the hotel room we had paid for, $174 for meals and $800 for the first day of the tour that we missed out on. They have offered us $147 in total compensation although they are responsible for our losses. Never again will I fly Aer Lingus or say a good word about them.",Family Leisure,Economy Class,5/1/2023,3,4,4,3,4,4,Orlando,Dublin,True,Ireland,False,International,book tenday tour ireland thru trafalgar tour tour start 19 may 2023 want arriv earli see dublin tour start book aer lingu flight orlando florida dublin 17th may flight due depart 830 pm arriv dublin 930 18th may aer lingu flt 120 told incom equip delay would depart 930 pm incom aircraft arriv shortli 9 pm follow fire truck told would depart 1030 1130 went till 2 18th said flight cancel would board morn soon aircraft repair imagin 300 peopl scrambl get check luggag make way check desk get hotel voucher found book hotel room 900 pm night mad got hotel 430 three hour sleep return airport see plane repair n't told would board aer lingu flight 34 manchest england 545 pm arriv manchest 720 19th may connect flight aer lingu 3327 dublin leav till 545 pm night arriv dublin 640 pm arriv 33 hour late paid hotel room dublin night 18 n't get use miss complet first day tour file claim aer lingu 600 wife per eu rule also ask 220 hotel room paid 174 meal 800 first day tour miss offer us 147 total compens although respons loss never fli aer lingu say good word,-0.7279,0.021428571,Neutral,Negative
7,Aer Lingus,1,"""didn't deliver what I paid for""","I booked round-trip from Boston (BOS) to Amsterdam (AMS). Then I paid $500 extra to change to round-trip from Hartford (BDL) to Amsterdam (AMS) when Aer Lingus started flying out of BDL. Six hours before the flight, Aer Lingus cancelled BDL and had me fly out of BOS. I asked them to change the return flight to BOS since my car would be parked there. They said that would be another upcharge, which I refused. I requested a refund of the $500 since they didn't deliver what I paid for. They rejected the request. So on top of the $500, I had to buy an Amtrak ticket from Hartford to Boston to get my car and pay for two extra days of parking at BOS. This is unacceptable. I urge anyone considering Aer Lingus to reconsider.",Family Leisure,Economy Class,3/1/2023,3,3,3,1,3,1,Boston,Amsterdam,True,Netherlands,False,International,book roundtrip boston bo amsterdam am paid 500 extra chang roundtrip hartford bdl amsterdam am aer lingu start fli bdl six hour flight aer lingu cancel bdl fli bo ask chang return flight bo sinc car would park said would anoth upcharg refus request refund 500 sinc n't deliv paid reject request top 500 buy amtrak ticket hartford boston get car pay two extra day park bo unaccept urg anyon consid aer lingu reconsid,0.1675,0.166666667,Positive,Neutral
8,Aer Lingus,2,"""over 12 hours of delay""","Our flight from Chicago to Dublin was delayed and our connecting flight to Zürich did not wait in Dublin. No big deal, we thought. Usually airlines would route us to the final destination without much fuss. Not the case with aer Lingus. Aer Lingus doesn’t have relationship with most major airlines. So you are presented with very limited choices. Our best case alternative routing presented was over 12 hours of delay from the original time. We even asked for a direct connection the next day but they didn’t have flights to Zürich on Sunday. So the next flight was two days away. We took the alternate route they provided. We were not provided any compensation or voucher.  We had to take the checked bags out at Ireland and go through immigration to get the rebooking done and had to check in afresh again. They provided boarding passes only until Amsterdam and not to the final destination Zürich. The baggage tag was also to Amsterdam. I raised concern over that. The agent said we should collect our bags again at Amsterdam and recheck and collect boarding passes at Amsterdam at KLM counter. The flight to Amsterdam was delayed by two hours. When we reached Amsterdam, we had to go through immigration and collect the bags again. We did that and when we went to check in the bags, we were told that their system doesn’t show that we paid for the bags and we have to pay again. We paid for 30 kg check in bags. Due to Aer Lingus's fault, we now have to pay again for the baggage (55 euro) and an excess baggage fee of 75 euro. Not only that, we had to visit six different counters to get this issue resolved. We spent well over four hours going from counter to counter with kids and bags. Klm staff asked us to pay them and seek reimbursement from aer lingus. When we contacted aer Lingus via them WhatsApp business account, they asked to register a case at their website and provided a link. After filling out all the details meticulously, the form crashes with a server error. Wow. Please don’t ruin your trip / vacation flying Aer Lingus.",Family Leisure,Economy Class,5/1/2023,4,3,3,1,3,3,Chicago,Zurich,True,Switzerland,False,International,flight chicago dublin delay connect flight zrich wait dublin big deal thought usual airlin would rout us final destin without much fuss case aer lingu aer lingu doesnt relationship major airlin present limit choic best case altern rout present 12 hour delay origin time even ask direct connect next day didnt flight zrich sunday next flight two day away took altern rout provid provid compens voucher take check bag ireland go immigr get rebook done check afresh provid board pass amsterdam final destin zrich baggag tag also amsterdam rais concern agent said collect bag amsterdam recheck collect board pass amsterdam klm counter flight amsterdam delay two hour reach amsterdam go immigr collect bag went check bag told system doesnt show paid bag pay paid 30 kg check bag due aer lingu 's fault pay baggag 55 euro excess baggag fee 75 euro visit six differ counter get issu resolv spent well four hour go counter counter kid bag klm staff ask us pay seek reimburs aer lingu contact aer lingu via whatsapp busi account ask regist case websit provid link fill detail meticul form crash server error wow pleas dont ruin trip vacat fli aer lingu,-0.233,0.065833333,Neutral,Neutral
9,Aer Lingus,1,"""our luggage has not been located""","There are lots of choices when booking a flight. We happened to be celebrating a milestone wedding anniversary and booked a trip to Italy. The flight itself was fine. We arrived at the airport in Naples and were the only passengers on a flight of 300+ people to be standing at the baggage carousel when it shut down because all the bags had been picked up by the passengers except for us. Our bags were missing. So now we head over to the missing baggage window and fill out a missing baggage claim form. This is Sunday morning. We make our way to the hotel with the clothes on our back for a week long stay to celebrate our anniversary not sure where our luggage is. We are tired. We have been on two flights for 10 hours. We wake up the next morning and put on the same clothes we arrived in to get breakfast. Never mind that there are new outfits in our luggage that we purchased for this trip that are floating around somewhere. After calling Aer Lingus multiple times and being told our luggage is out for delivery, we logged on to their missing baggage website only to learn our luggage has not been located yet in spite of Aer Lingus agents lying and telling us on the phone our bags were on the way. Was this so we wouldn’t go out and purchase necessary items to change into to keep Aer Lingus lost baggage costs lower. We are now in our 3rd full day in Italy and Aer Lingus still stands by their claim that one bag is out for delivery, when the truth of the matter is they can’t specify where it is en route. This saga will probably continue for us long after we depart Italy in two days. To add insult to injury, Aer Lingus cannot tell us what is acceptable and necessary that we can purchase while we wait hopelessly for our luggage. Talk about being given the run around, reading from a computer screen that the bags are in route, escalating our calls to supervisors who only read the same script on a screen. My Advice to Everyone out there - DO NOT BOOK YOUR FLIGHT through Aer Lingus if you value the peace of mind that you are entrusting a company that values it’s customers and will make a sincere effort to correct an error in a timely and honest manner. Let’s face it, a lot of people are like us, we don’t travel all the time, we spent thousands of hard earned dollars, and to be in Europe for going on four days in the same skivvies we arrived in should not be tolerated by customers - so book with another airlines if you value peace of mind.",Couple Leisure,Economy Class,5/1/2023,3,4,4,1,1,1,Boston,Naples,True,Italy,False,International,lot choic book flight happen celebr mileston wed anniversari book trip itali flight fine arriv airport napl passeng flight 300 peopl stand baggag carousel shut bag pick passeng except us bag miss head miss baggag window fill miss baggag claim form sunday morn make way hotel cloth back week long stay celebr anniversari sure luggag tire two flight 10 hour wake next morn put cloth arriv get breakfast never mind new outfit luggag purchas trip float around somewher call aer lingu multipl time told luggag deliveri log miss baggag websit learn luggag locat yet spite aer lingu agent lie tell us phone bag way wouldnt go purchas necessari item chang keep aer lingu lost baggag cost lower 3rd full day itali aer lingu still stand claim one bag deliveri truth matter cant specifi en rout saga probabl continu us long depart itali two day add insult injuri aer lingu tell us accept necessari purchas wait hopelessli luggag talk given run around read comput screen bag rout escal call supervisor read script screen advic everyon book flight aer lingu valu peac mind entrust compani valu custom make sincer effort correct error time honest manner let face lot peopl like us dont travel time spent thousand hard earn dollar europ go four day skivvi arriv toler custom book anoth airlin valu peac mind,-0.5859,0.12594697,Positive,Negative
